Name;psnr;sangle;lmbda;modeltype;freezestatus;longlabel;model_id
CombinedModelAllFrozenLmdba0.5;40.07481384;4.81903553;0.5;Combined;All;CombinedAll;1
CombinedModelAllFrozenLmdba0.7;40.83607483;4.648074627;0.7;Combined;All;CombinedAll;1
CombinedModelAllFrozenLmdba0.9;40.88286591;4.701142788;0.9;Combined;All;CombinedAll;1
CombinedModelAllFrozenLmdba1;40.95558929;4.886685848;1;Combined;All;CombinedAll;1
Run2-CombinedModelEncoderFrozenLmbda0.5;40.75151825;4.637874126;0.5;Combined;Encoder;CombinedEncoder;2
CombinedModelEncoderFrozenLmdba0.5;40.40760422;4.814072132;0.5;Combined;Encoder;CombinedEncoder;2
CombinedModelEncoderFrozenLmdba0.7;40.04620361;5.016449928;0.7;Combined;Encoder;CombinedEncoder;2
CombinedModelEncoderFrozenLmdba0.9;40.38303375;5.026434422;0.9;Combined;Encoder;CombinedEncoder;2
CombinedModelEncoderFrozenLmdba1.0;39.54301071;5.448447227;1;Combined;Encoder;CombinedEncoder;2
FastCombinedDualMseLossLmbda0AllFrozen;42.57971573;3.93460083;0;FastCombined;All;FastCombinedAll;3
FastCombinedLmdba0.5AllFrozen;41.00387573;3.479272127;0.5;FastCombined;All;FastCombinedAll;3
FastCombinedLmdba0.7AllFrozen;41.77138519;3.559316874;0.7;FastCombined;All;FastCombinedAll;3
FastCombinedLmdba1.0AllFrozen;43.33522034;3.510453701;1;FastCombined;All;FastCombinedAll;3
FastCombinedDualMseLmdba0EncoderFrozen;18.37442207;25.00129318;0;FastCombined;Encoder;FastCombinedEncoder;4
FastCombinedLmdba0.5EncoderFrozen;44.99;3.063;0.5;FastCombined;Encoder;FastCombinedEncoder;4
FastCombinedLmdba0.7EncoderFrozen;40.77833557;3.62391448;0.7;FastCombined;Encoder;FastCombinedEncoder;4
FastCombinedLmdba1.0EncoderFrozen;41.49204636;3.698720217;1;FastCombined;Encoder;FastCombinedEncoder;4
FastCombinedDualMseLmdba0NothingFrozen;42.63357162;4.000324249;0;FastCombined;Nothing;FastCombinedNothing;5
FastCombinedLmdba0.5NothingFrozen;42.29262161;4.515243053;0.5;FastCombined;Nothing;FastCombinedNothing;5
FastCombinedLmdba0.7NothingFrozen;40.43280411;5.254079819;0.7;FastCombined;Nothing;FastCombinedNothing;5
FastCombinedLmdba1.0NothingFrozen;42.87342834;3.64534831;1;FastCombined;Nothing;FastCombinedNothing;5
